datetime,model,levels,fraction,epochs
2026-02-12 08:26:24,yolo11n.pt,[1],0.00994,10
2026-02-12 08:28:09,yolo11s.pt,[1],0.00994,10
2026-02-12 08:31:16,yolo11m.pt,[1],0.00994,10
2026-02-12 08:37:31,yolo11l.pt,[1],0.00994,10
2026-02-12 08:45:08,yolo11x.pt,[1],0.00994,10
2026-02-12 09:29:11,yolo11n.pt,"[2, 3, 4]",0.00994,30
2026-02-12 10:01:22,yolo11n.pt,"[2, 3, 4]",0.00994,30
2026-02-12 10:06:47,yolo11n.pt,"[2, 3, 4]",0.00994,40
2026-02-12 10:14:04,yolo11n.pt,"[2, 3, 4]",0.00994,50
2026-02-12 10:25:05,yolo11s.pt,"[2, 3, 4]",0.00994,30
2026-02-12 10:35:18,yolo11s.pt,"[2, 3, 4]",0.00994,40
2026-02-12 10:50:08,yolo11s.pt,"[2, 3, 4]",0.00994,50
2026-02-12 11:13:22,yolo11m.pt,"[2, 3, 4]",0.00994,30
2026-02-12 11:36:14,yolo11m.pt,"[2, 3, 4]",0.00994,40
2026-02-12 12:09:27,yolo11m.pt,"[2, 3, 4]",0.00994,50
2026-02-12 13:06:04,yolo11l.pt,"[2, 3, 4]",0.00994,30
2026-02-12 13:34:36,yolo11l.pt,"[2, 3, 4]",0.00994,40
2026-02-12 14:16:15,yolo11l.pt,"[2, 3, 4]",0.00994,50
2026-02-12 15:27:19,yolo11x.pt,"[2, 3, 4]",0.00994,30
2026-02-12 16:17:58,yolo11x.pt,"[2, 3, 4]",0.00994,40
2026-02-12 17:34:01,yolo11x.pt,"[2, 3, 4]",0.00994,50
