epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3742,1.72585,3.80733,1.28309,0,0,0,0,0,9777.68,0,6e-05,6e-05,6e-05
2,168.915,1.42643,1.07447,1.05549,0,0,0,0,0,10319.7,0,0.000127426,0.000127426,0.000127426
3,253.133,1.41166,0.92402,1.06798,0,0,0,0,0,15471.8,0,0.00019208,0.00019208,0.00019208
4,337.585,1.30066,0.85704,1.06435,0,0,0,0,0,9279.43,0,0.000253962,0.000253962,0.000253962
5,422.248,1.3136,0.83571,1.05829,0,0,0,0,0,284649,0,0.000313072,0.000313072,0.000313072
6,506.746,1.21703,0.73797,1.0774,0,0,0,0,0,432107,0,0.00036941,0.00036941,0.00036941
7,592.824,1.36931,0.87139,1.13579,0,0,0,0,0,1.52439e+06,0,0.000422976,0.000422976,0.000422976
8,678.876,1.328,0.72157,1.05838,0,0,0,0,0,5.26295e+06,0,0.00047377,0.00047377,0.00047377
9,763.235,1.40922,0.81129,1.13174,0,0,0,0,0,85533.6,0,0.000521792,0.000521792,0.000521792
10,846.846,1.3391,0.74606,1.10226,0,0,0,0,0,668053,0,0.000567042,0.000567042,0.000567042
11,930.707,1.22593,0.75945,1.03408,0,0,0,0,0,876518,0,0.00060952,0.00060952,0.00060952
12,1015.57,1.23726,0.92547,1.04098,0,0,0,0,0,2976.75,0,0.000649226,0.000649226,0.000649226
13,1099.66,1.31815,0.79426,1.08214,0,0,0,0,0,4069.49,0,0.00068616,0.00068616,0.00068616
14,1182.47,1.27854,0.68362,1.03577,0,0,0,0,0,2912.46,0,0.000720322,0.000720322,0.000720322
15,1266.97,1.28458,0.69712,1.05908,0,0,0,0,0,3622.43,0,0.0007228,0.0007228,0.0007228
16,1351.02,1.25345,0.64595,1.07054,0,0,0,0,0,1682.92,0,0.000703,0.000703,0.000703
17,1434.97,1.26097,0.66427,1.04313,0,0,0,0,0,1673.98,0,0.0006832,0.0006832,0.0006832
18,1519.76,1.20525,0.63037,1.03194,0,0,0,0,0,1182.94,0,0.0006634,0.0006634,0.0006634
19,1603.12,1.22207,0.62219,1.01992,0,0,0,0,0,1564.96,0,0.0006436,0.0006436,0.0006436
20,1687.01,1.22014,0.62099,1.07337,0,0,0,0,0,2175.31,0,0.0006238,0.0006238,0.0006238
21,1770.13,1.17833,0.59879,1.03132,0,0,0,0,0,2594.32,0,0.000604,0.000604,0.000604
22,1854.04,1.21107,0.59359,1.02251,0,0,0,0,0,84223,0,0.0005842,0.0005842,0.0005842
23,1937.97,1.1675,0.60336,1.03181,0,0,0,0,0,12099.6,0,0.0005644,0.0005644,0.0005644
24,2020.9,1.11235,0.55833,1.00738,0,0,0,0,0,2412.25,0,0.0005446,0.0005446,0.0005446
25,2104.09,1.17998,0.57233,1.02853,0,0,0,0,0,2475.89,0,0.0005248,0.0005248,0.0005248
26,2187.79,1.10477,0.56382,1.00392,0,0,0,0,0,2638.66,0,0.000505,0.000505,0.000505
27,2271.73,1.08638,0.56358,1.04265,0,0,0,0,0,2374.32,0,0.0004852,0.0004852,0.0004852
28,2355.11,1.12753,0.55964,1.00075,0,0,0,0,0,2797.02,0,0.0004654,0.0004654,0.0004654
29,2438.11,1.1308,0.56864,1.00022,0,0,0,0,0,2422.22,0,0.0004456,0.0004456,0.0004456
30,2522.12,1.14551,0.5606,0.96902,0,0,0,0,0,2813.15,0,0.0004258,0.0004258,0.0004258
31,2605.45,1.14701,0.57119,1.00622,0,0,0,0,0,2865.07,0,0.000406,0.000406,0.000406
32,2688.96,1.16996,0.57649,1.01972,0,0,0,0,0,2381.25,0,0.0003862,0.0003862,0.0003862
33,2772.64,1.08996,0.53657,0.99126,0,0,0,0,0,2696.67,0,0.0003664,0.0003664,0.0003664
34,2856.53,1.10453,0.54719,0.98266,0,0,0,0,0,2940.67,0,0.0003466,0.0003466,0.0003466
35,2940.26,1.07222,0.52475,1.00002,0,0,0,0,0,2343.42,0,0.0003268,0.0003268,0.0003268
36,3024.29,1.07647,0.52318,0.98699,0,0,0,0,0,2727.75,0,0.000307,0.000307,0.000307
37,3107.61,1.03293,0.52089,0.98458,0,0,0,0,0,2979.22,0,0.0002872,0.0002872,0.0002872
38,3190.6,1.00028,0.48393,0.98268,0,0,0,0,0,2487.76,0,0.0002674,0.0002674,0.0002674
39,3274.79,1.0502,0.49768,0.96154,0,0,0,0,0,2468.31,0,0.0002476,0.0002476,0.0002476
40,3358.69,1.06503,0.50826,0.96387,0,0,0,0,0,2783.58,0,0.0002278,0.0002278,0.0002278
41,3442.07,1.00368,0.49883,0.97601,0,0,0,0,0,2548.19,0,0.000208,0.000208,0.000208
42,3525.51,0.96318,0.46912,0.96212,0,0,0,0,0,2053.13,0,0.0001882,0.0001882,0.0001882
