epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1877,1.56249,3.30383,1.17178,0,0,0,0,0,8384.76,0,6e-05,6e-05,6e-05
2,86.0815,1.43609,1.27831,1.06581,0,0,0,0,0,12082,0,0.00012571,0.00012571,0.00012571
3,129.402,1.41079,0.93574,1.07417,0,0,0,0,0,12244.4,0,0.0001868,0.0001868,0.0001868
4,173.279,1.33752,0.91315,1.05109,0,0,0,0,0,6882.08,0,0.00024327,0.00024327,0.00024327
5,217.045,1.30637,0.82977,1.02525,0,0,0,0,0,3571.49,0,0.00029512,0.00029512,0.00029512
6,260.144,1.33329,0.83911,1.05978,0,0,0,0,0,7055.08,0,0.00034235,0.00034235,0.00034235
7,303.632,1.37686,0.82481,1.07625,0,0,0,0,0,6049.68,0,0.00038496,0.00038496,0.00038496
8,346.994,1.21915,0.73557,0.99141,0,0,0,0,0,4427.8,0,0.00042295,0.00042295,0.00042295
9,390.577,1.29076,0.80028,1.0403,0,0,0,0,0,2633.74,0,0.00045632,0.00045632,0.00045632
10,433.97,1.28236,0.70495,1.02895,0,0,0,0,0,3570.69,0,0.00048507,0.00048507,0.00048507
11,476.983,1.21151,0.68704,0.99594,0,0,0,0,0,3341.71,0,0.0005092,0.0005092,0.0005092
12,520.15,1.21275,0.6638,0.99499,0,0,0,0,0,2832.37,0,0.00052871,0.00052871,0.00052871
13,563.445,1.22224,0.66083,1.00593,0,0,0,0,0,2157.21,0,0.0005436,0.0005436,0.0005436
14,606.921,1.19436,0.63822,0.98287,0,0,0,0,0,2405.62,0,0.00055387,0.00055387,0.00055387
15,651.041,1.21989,0.64707,1.00251,0,0,0,0,0,2522.56,0,0.000538,0.000538,0.000538
16,694.382,1.18017,0.63425,0.99983,0,0,0,0,0,1579.66,0,0.000505,0.000505,0.000505
17,738.238,1.19499,0.63663,1.0007,0,0,0,0,0,2231.84,0,0.000472,0.000472,0.000472
18,781.758,1.16023,0.60683,0.97947,0,0,0,0,0,2203.86,0,0.000439,0.000439,0.000439
19,825.23,1.13002,0.59631,0.96075,0,0,0,0,0,2675.21,0,0.000406,0.000406,0.000406
20,869.046,1.12539,0.58107,0.98864,0,0,0,0,0,1977.22,0,0.000373,0.000373,0.000373
21,912.062,1.07421,0.56332,0.96204,0,0,0,0,0,2140.91,0,0.00034,0.00034,0.00034
22,955.242,1.1402,0.58875,0.97895,0,0,0,0,0,2317.84,0,0.000307,0.000307,0.000307
23,998.467,1.05853,0.56405,0.97687,0,0,0,0,0,2093.63,0,0.000274,0.000274,0.000274
24,1041.66,1.06287,0.54673,0.96754,0,0,0,0,0,2544.01,0,0.000241,0.000241,0.000241
25,1084.84,1.04885,0.53866,0.95953,0,0,0,0,0,2404.21,0,0.000208,0.000208,0.000208
26,1128.59,0.99938,0.52294,0.94867,0,0,0,0,0,2184.75,0,0.000175,0.000175,0.000175
27,1172.28,1.00014,0.52693,0.94544,0,0,0,0,0,2381.13,0,0.000142,0.000142,0.000142
28,1216.03,0.96452,0.51629,0.932,0,0,0,0,0,2278.5,0,0.000109,0.000109,0.000109
29,1259.4,0.97388,0.50141,0.92918,0,0,0,0,0,2263.24,0,7.6e-05,7.6e-05,7.6e-05
30,1302.39,0.97359,0.49707,0.94959,0,0,0,0,0,2312.31,0,4.3e-05,4.3e-05,4.3e-05
