epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.51414,1.81436,4.16208,1.25741,0,0,0,0,0,266.957,0,6e-05,6e-05,6e-05
2,19.3668,1.62182,3.8115,1.1354,0,0,0,0,0,267.358,0,0.000126783,0.000126783,0.000126783
3,28.9189,1.64611,3.17915,1.10471,0,0,0,0,0,267.969,0,0.0001901,0.0001901,0.0001901
4,37.9178,1.62344,2.76379,1.12314,0,0,0,0,0,268.478,0,0.000249953,0.000249953,0.000249953
5,46.9588,1.65591,2.20771,1.11375,0,0,0,0,0,269.409,0,0.00030634,0.00030634,0.00030634
6,55.9235,1.627,1.74183,1.14444,0,0,0,0,0,270.535,0,0.000359262,0.000359262,0.000359262
7,65.6063,1.63112,1.45703,1.16055,0,0,0,0,0,273.576,0,0.00040872,0.00040872,0.00040872
8,74.7059,1.52586,1.27968,1.10703,0,0,0,0,0,274.965,0,0.000454713,0.000454713,0.000454713
9,83.8758,1.57382,1.29782,1.14997,0,0,0,0,0,275.199,0,0.00049724,0.00049724,0.00049724
10,93.4059,1.60791,1.22211,1.13616,0,0,0,0,0,274.064,0,0.000536303,0.000536303,0.000536303
11,102.584,1.50015,1.13728,1.07123,0,0,0,0,0,278.598,0,0.0005719,0.0005719,0.0005719
12,111.799,1.45888,1.09063,1.0654,0,0,0,0,0,308.298,0,0.000604033,0.000604033,0.000604033
13,121.037,1.44052,1.0804,1.08603,0,0,0,0,0,319.668,0,0.0006327,0.0006327,0.0006327
14,130.732,1.4449,1.04201,1.04788,0,0,0,0,0,323.387,0,0.000657903,0.000657903,0.000657903
15,139.826,1.48222,1.06766,1.06296,0,0,0,0,0,380.393,0,0.0006535,0.0006535,0.0006535
16,149.116,1.4039,1.01533,1.06526,0,0,0,0,0,533.697,0,0.00062875,0.00062875,0.00062875
17,158.78,1.44423,1.01043,1.06183,0,0,0,0,0,608.638,0,0.000604,0.000604,0.000604
18,168.4,1.42271,1.00187,1.05887,0,0,0,0,0,747.045,0,0.00057925,0.00057925,0.00057925
19,177.863,1.42916,0.95806,1.03582,0,0,0,0,0,814.316,0,0.0005545,0.0005545,0.0005545
20,186.98,1.399,0.96938,1.06178,0,0,0,0,0,855.903,0,0.00052975,0.00052975,0.00052975
21,196.256,1.35935,0.93061,1.03272,0,0,0,0,0,896.229,0,0.000505,0.000505,0.000505
22,205.531,1.40833,0.9525,1.03852,0,0,0,0,0,993.247,0,0.00048025,0.00048025,0.00048025
23,214.789,1.34364,0.92718,1.03588,0,0,0,0,0,1147.83,0,0.0004555,0.0004555,0.0004555
24,224.413,1.28171,0.87843,1.0096,0,0,0,0,0,1260.74,0,0.00043075,0.00043075,0.00043075
25,233.995,1.38977,0.91291,1.02642,0,0,0,0,0,1269.71,0,0.000406,0.000406,0.000406
26,243.266,1.31311,0.89475,1.01747,0,0,0,0,0,1349.58,0,0.00038125,0.00038125,0.00038125
27,252.547,1.23367,0.89251,1.01437,0,0,0,0,0,1486.03,0,0.0003565,0.0003565,0.0003565
28,262.225,1.35252,0.86871,1.01313,0,0,0,0,0,1567.55,0,0.00033175,0.00033175,0.00033175
29,272.009,1.30454,0.8573,1.00679,0,0,0,0,0,1603.61,0,0.000307,0.000307,0.000307
30,281.386,1.34246,0.86539,0.98584,0,0,0,0,0,1678.45,0,0.00028225,0.00028225,0.00028225
31,290.55,1.3044,0.97032,1.01939,0,0,0,0,0,1735.44,0,0.0002575,0.0002575,0.0002575
32,300.244,1.30115,0.91436,1.0091,0,0,0,0,0,1623.18,0,0.00023275,0.00023275,0.00023275
33,309.228,1.26872,0.87978,0.99751,0,0,0,0,0,1569.47,0,0.000208,0.000208,0.000208
34,318.335,1.23921,0.86402,0.99054,0,0,0,0,0,1515.12,0,0.00018325,0.00018325,0.00018325
35,327.415,1.23703,0.86703,1.01657,0,0,0,0,0,1596.7,0,0.0001585,0.0001585,0.0001585
36,336.936,1.22835,0.85798,1.01414,0,0,0,0,0,1786.97,0,0.00013375,0.00013375,0.00013375
37,346.018,1.25578,0.83072,1.00902,0,0,0,0,0,1860.49,0,0.000109,0.000109,0.000109
38,355.025,1.16025,0.81679,0.98307,0,0,0,0,0,1956.31,0,8.425e-05,8.425e-05,8.425e-05
39,364.463,1.20726,0.82753,0.97662,0,0,0,0,0,2004.57,0,5.95e-05,5.95e-05,5.95e-05
40,373.565,1.18456,0.81172,0.9827,0,0,0,0,0,2042.86,0,3.475e-05,3.475e-05,3.475e-05
