epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.688,1.65589,3.83509,1.16128,0,0,0,0,0,1125.1,0,6e-05,6e-05,6e-05
2,35.4974,1.49448,1.56881,1.07374,0,0,0,0,0,12172.6,0,0.00012571,0.00012571,0.00012571
3,53.4902,1.4993,1.15703,1.06871,0,0,0,0,0,6574.35,0,0.0001868,0.0001868,0.0001868
4,72.1882,1.47046,1.04798,1.06439,0,0,0,0,0,8513.3,0,0.00024327,0.00024327,0.00024327
5,90.4039,1.44558,0.98005,1.0746,0,0,0,0,0,5074.64,0,0.00029512,0.00029512,0.00029512
6,108.618,1.3744,0.89547,1.0619,0,0,0,0,0,6001.65,0,0.00034235,0.00034235,0.00034235
7,127.18,1.40079,0.93704,1.08336,0,0,0,0,0,4125.39,0,0.00038496,0.00038496,0.00038496
8,145.56,1.33292,0.82223,1.02393,0,0,0,0,0,4627.16,0,0.00042295,0.00042295,0.00042295
9,163.928,1.3508,0.82588,1.05056,0,0,0,0,0,3284.13,0,0.00045632,0.00045632,0.00045632
10,182.033,1.34568,0.78726,1.03349,0,0,0,0,0,3564.2,0,0.00048507,0.00048507,0.00048507
11,200.651,1.30402,0.76289,1.01288,0,0,0,0,0,2292.76,0,0.0005092,0.0005092,0.0005092
12,219.124,1.26051,0.71299,0.99344,0,0,0,0,0,2547.21,0,0.00052871,0.00052871,0.00052871
13,237.63,1.2701,0.70995,0.99851,0,0,0,0,0,1842.45,0,0.0005436,0.0005436,0.0005436
14,256.176,1.26949,0.70415,0.97948,0,0,0,0,0,2297.91,0,0.00055387,0.00055387,0.00055387
15,274.862,1.26207,0.70694,0.99657,0,0,0,0,0,2138.36,0,0.000538,0.000538,0.000538
16,292.716,1.23156,0.67837,0.99931,0,0,0,0,0,2422.79,0,0.000505,0.000505,0.000505
17,310.977,1.26989,0.68278,0.99246,0,0,0,0,0,2472.99,0,0.000472,0.000472,0.000472
18,330.002,1.22246,0.67106,0.98876,0,0,0,0,0,2766.15,0,0.000439,0.000439,0.000439
19,348.214,1.21565,0.65531,0.97639,0,0,0,0,0,2120.22,0,0.000406,0.000406,0.000406
20,366.164,1.20112,0.64325,0.99191,0,0,0,0,0,2147.28,0,0.000373,0.000373,0.000373
21,384.147,1.16512,0.62558,0.97685,0,0,0,0,0,2076.57,0,0.00034,0.00034,0.00034
22,402.242,1.21007,0.64877,0.98751,0,0,0,0,0,1976.63,0,0.000307,0.000307,0.000307
23,420.359,1.14323,0.6243,0.97581,0,0,0,0,0,2380.7,0,0.000274,0.000274,0.000274
24,438.392,1.11158,0.58983,0.96623,0,0,0,0,0,2346.97,0,0.000241,0.000241,0.000241
25,456.3,1.09442,0.56335,0.9571,0,0,0,0,0,2293.26,0,0.000208,0.000208,0.000208
26,474.806,1.05139,0.56271,0.94353,0,0,0,0,0,2319.22,0,0.000175,0.000175,0.000175
27,492.591,1.06051,0.56889,0.93741,0,0,0,0,0,2344.06,0,0.000142,0.000142,0.000142
28,511.019,1.05665,0.54919,0.93669,0,0,0,0,0,2281.2,0,0.000109,0.000109,0.000109
29,528.97,1.04558,0.5471,0.92773,0,0,0,0,0,2229.56,0,7.6e-05,7.6e-05,7.6e-05
30,547.258,1.07224,0.55942,0.95421,0,0,0,0,0,2204.2,0,4.3e-05,4.3e-05,4.3e-05
