epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.209,1.57587,3.00913,1.19522,0,0,0,0,0,21387.6,0,6e-05,6e-05,6e-05
2,221.729,1.32971,1.01074,1.06003,0,0,0,0,0,18415.6,0,0.000126783,0.000126783,0.000126783
3,335.3,1.36946,0.80921,1.10425,0,0,0,0,0,105188,0,0.0001901,0.0001901,0.0001901
4,447.579,1.27579,0.77468,1.08878,0,0,0,0,0,59747.4,0,0.000249953,0.000249953,0.000249953
5,560.205,1.30479,0.71611,1.10896,0,0,0,0,0,59356,0,0.00030634,0.00030634,0.00030634
6,673.056,1.24926,0.69273,1.1053,0,0,0,0,0,903185,0,0.000359262,0.000359262,0.000359262
7,785.985,1.36589,0.84349,1.19637,0,0,0,0,0,126073,0,0.00040872,0.00040872,0.00040872
8,900.836,1.30705,0.98152,1.10645,0,0,0,0,0,1.86945e+06,0,0.000454713,0.000454713,0.000454713
9,1015.82,1.35357,0.87891,1.18843,0,0,0,0,0,1.92897e+07,0,0.00049724,0.00049724,0.00049724
10,1127.33,1.27907,0.79335,1.12438,0,0,0,0,0,634429,0,0.000536303,0.000536303,0.000536303
11,1239.62,1.26108,0.72718,1.07573,0,0,0,0,0,227645,0,0.0005719,0.0005719,0.0005719
12,1352.4,1.23465,0.64785,1.06728,0,0,0,0,0,148476,0,0.000604033,0.000604033,0.000604033
13,1464.18,1.21577,0.68009,1.07982,0,0,0,0,0,41761.5,0,0.0006327,0.0006327,0.0006327
14,1576.25,1.24564,0.61933,1.06043,0,0,0,0,0,871.599,0,0.000657903,0.000657903,0.000657903
15,1686.76,1.22858,0.61587,1.06145,0,0,0,0,0,2616.36,0,0.0006535,0.0006535,0.0006535
16,1798.29,1.24729,0.59394,1.1045,0,0,0,0,0,5903.98,0,0.00062875,0.00062875,0.00062875
17,1910.34,1.24139,0.60736,1.07718,0,0,0,0,0,14296.5,0,0.000604,0.000604,0.000604
18,2022.39,1.20621,0.5835,1.07754,0,0,0,0,0,5215.38,0,0.00057925,0.00057925,0.00057925
19,2134.57,1.22041,0.57712,1.0553,0,0,0,0,0,3200.74,0,0.0005545,0.0005545,0.0005545
20,2246.12,1.18863,0.57017,1.08594,0,0,0,0,0,20492.6,0,0.00052975,0.00052975,0.00052975
21,2358.26,1.13576,0.60572,1.05048,0,0,0,0,0,80088.7,0,0.000505,0.000505,0.000505
22,2470.38,1.17406,0.61197,1.04381,0,0,0,0,0,149702,0,0.00048025,0.00048025,0.00048025
23,2582.6,1.15769,0.56917,1.05764,0,0,0,0,0,20526.4,0,0.0004555,0.0004555,0.0004555
24,2694.09,1.1028,0.53318,1.01806,0,0,0,0,0,2986.58,0,0.00043075,0.00043075,0.00043075
25,2807.18,1.11744,0.542,1.02092,0,0,0,0,0,2952.47,0,0.000406,0.000406,0.000406
26,2917.88,1.06526,0.52061,1.02415,0,0,0,0,0,2474.26,0,0.00038125,0.00038125,0.00038125
27,3030.08,1.07296,0.52146,1.0547,0,0,0,0,0,3618.79,0,0.0003565,0.0003565,0.0003565
28,3142.01,1.11014,0.52149,1.00097,0,0,0,0,0,2666.67,0,0.00033175,0.00033175,0.00033175
29,3253.64,1.07152,0.51856,0.9972,0,0,0,0,0,2213.19,0,0.000307,0.000307,0.000307
30,3366.21,1.08153,0.50432,0.96624,0,0,0,0,0,2671.69,0,0.00028225,0.00028225,0.00028225
31,3478.24,1.09245,0.53669,1.05958,0,0,0,0,0,2177.56,0,0.0002575,0.0002575,0.0002575
32,3589.31,1.02925,0.49495,1.02202,0,0,0,0,0,2018.76,0,0.00023275,0.00023275,0.00023275
33,3701.15,0.99021,0.46056,1.01081,0,0,0,0,0,2372.36,0,0.000208,0.000208,0.000208
34,3812.12,0.97111,0.46416,0.98141,0,0,0,0,0,2871.47,0,0.00018325,0.00018325,0.00018325
35,3924.51,1.00274,0.46831,1.03568,0,0,0,0,0,2397.35,0,0.0001585,0.0001585,0.0001585
36,4036.1,1.00623,0.47042,1.01805,0,0,0,0,0,2230.42,0,0.00013375,0.00013375,0.00013375
37,4148.46,1.01433,0.45319,1.00458,0,0,0,0,0,2410.22,0,0.000109,0.000109,0.000109
38,4259.99,0.9181,0.42533,0.97705,0,0,0,0,0,2752.73,0,8.425e-05,8.425e-05,8.425e-05
39,4371.85,0.9299,0.44277,0.96951,0,0,0,0,0,2819.15,0,5.95e-05,5.95e-05,5.95e-05
40,4484.22,0.90104,0.42555,0.96434,0,0,0,0,0,2743.15,0,3.475e-05,3.475e-05,3.475e-05
