Modelo,Inicio,Fin,Tiempo_medio_s,Desv_tipica_s,Tiempo_min_s,Tiempo_max_s
11s_1,2026-02-20 13:01:09,2026-02-20 13:01:14,0.055370500270073536,0.006868436409831751,0.05122678900079336,0.11149823400046444
11n_1,2026-02-20 13:02:14,2026-02-20 13:02:17,0.026409008270002234,0.002167473442179387,0.023499801000070875,0.03632548499990662
11m_1,2026-02-20 13:03:17,2026-02-20 13:03:30,0.1298618733899275,0.004776986433104929,0.1258324430000357,0.16124018399932538
11l_1,2026-02-20 13:04:30,2026-02-20 13:04:47,0.16485013782998068,0.02595997280406621,0.15440325799863786,0.3063932109998859
11x_1,2026-02-20 13:05:47,2026-02-20 13:06:18,0.3183110244999443,0.05267513251453091,0.29833418100133713,0.5976847790007014
11s_2,2026-02-20 13:07:19,2026-02-20 13:07:23,0.04805534584995257,0.004359171049169527,0.04597983900021063,0.0824888369988912
11n_2,2026-02-20 13:08:23,2026-02-20 13:08:26,0.0221455514900299,0.0011925849669885192,0.021182921000217902,0.032149515000128304
11m_2,2026-02-20 13:09:26,2026-02-20 13:09:39,0.13692082100003972,0.025381643422622287,0.1258608930002083,0.27132664500095416
11l_2,2026-02-20 13:10:40,2026-02-20 13:10:55,0.1567971997001041,0.014074366192181838,0.15245863599920995,0.282403762001195
11x_2,2026-02-20 13:11:55,2026-02-20 13:12:27,0.3180087415200614,0.024703938902470714,0.3042332740005804,0.47986924900033046
11s_3,2026-02-20 13:13:27,2026-02-20 13:13:32,0.05068867580008373,0.0025418453357973223,0.04994953999994323,0.07576143199912622
11n_3,2026-02-20 13:14:32,2026-02-20 13:14:35,0.0259617326300031,0.003713080085493153,0.02359281499957433,0.040094604999467265
11m_3,2026-02-20 13:15:35,2026-02-20 13:15:48,0.12934502677999263,0.0050299455052967585,0.1258715399999346,0.1619185239997023
11l_3,2026-02-20 13:16:48,2026-02-20 13:17:05,0.1648649515600482,0.018919092066243388,0.15692579700044007,0.3017015990008076
11x_3,2026-02-20 13:18:05,2026-02-20 13:18:35,0.3074966733499059,0.015466212912745764,0.2953437669984851,0.4172255100002076
11s_4,2026-02-20 13:19:36,2026-02-20 13:19:41,0.051298729600057415,0.009530627687945274,0.04760901000008744,0.09607271200002288
11n_4,2026-02-20 13:20:41,2026-02-20 13:20:43,0.024529860689945053,0.0010077883150356544,0.023834375000660657,0.03390754499923787
11m_4,2026-02-20 13:21:43,2026-02-20 13:21:56,0.12235869887001172,0.0059570302729794735,0.12109990200042375,0.171703145999345
11l_4,2026-02-20 13:22:56,2026-02-20 13:23:12,0.1639238881899837,0.032568168527846504,0.14937261200066132,0.3341237730001012
11x_4,2026-02-20 13:24:12,2026-02-20 13:24:44,0.31801553149993195,0.0311035029537617,0.30408328600060486,0.4798323100003472
